# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
3.800000000000000266e+00,-1.101815612906681618e+00,-9.177868364140788771e-01,-2.440079172490712267e+00,8.134155047893737445e-01,8.963240952244700965e-01,-1.186451567871624757e+00,2.302443628930983810e-01,1.454207723659708684e-01,1.044748584198995189e+00,9.177868364140788771e-01,6.149431998106993369e-01,-5.083846904933585903e-02
3.850000000000000089e+00,-1.055714786673199956e+00,-9.759377055977509485e-01,-2.427798882644820466e+00,8.206228068003206255e-01,9.472774241991416266e-01,-1.139098588706261683e+00,2.609508435663083215e-01,1.428675542589979697e-01,9.929674700932062947e-01,9.759377055977509485e-01,6.129763786582007601e-01,-5.128892542502003909e-02
3.900000000000000355e+00,-1.007132047496706484e+00,-1.031649238775961042e+00,-2.413986578330833854e+00,8.277018881672576489e-01,9.955803853718701024e-01,-1.088898456300209761e+00,2.915078843035779355e-01,1.402920133873353514e-01,9.387591501610238476e-01,1.031649238775961042e+00,6.089627896218995362e-01,-5.173136801045360306e-02
3.950000000000000178e+00,-9.562028839484522091e-01,-1.084782186129768178e+00,-2.398652296348815938e+00,8.346516427981235386e-01,1.041115460514969282e+00,-1.035976644840761463e+00,3.218127799011994417e-01,1.376945521740043088e-01,8.822782991287277943e-01,1.084782186129768178e+00,6.028888654883216569e-01,-5.216572767488272117e-02
4.000000000000000000e+00,-9.030684647344251470e-01,-1.135203742961892193e+00,-2.381811222945997564e+00,8.414709848078965049e-01,1.083773010182875973e+00,-9.804654312954179662e-01,3.517623132933529462e-01,1.350755764670349413e-01,8.236853174284103352e-01,1.135203742961892193e+00,5.947477127531130003e-01,-5.259193655049353155e-02
4.049999999999999822e+00,-8.478752377909557492e-01,-1.182787881639292493e+00,-2.363483711035536228e+00,8.481588486882614131e-01,1.123451548456856131e+00,-9.225035647883617074e-01,3.812530911259998101e-01,1.324354954760531000e-01,7.631458671878462718e-01,1.182787881639292493e+00,5.845391836165521049e-01,-5.300992804301633832e-02
4.100000000000000533e+00,-7.907745162289191443e-01,-1.227415666596616273e+00,-2.343695280555469829e+00,8.547141894740934998e-01,1.160057994142627447e+00,-8.622359197999027725e-01,4.101818823967378069e-01,1.297747217083423943e-01,7.008303945872823570e-01,1.227415666596616273e+00,5.722699265784408906e-01,-5.341963684213084373e-02
4.150000000000000355e+00,-7.319220523203606721e-01,-1.268975551613169772e+00,-2.322476601841440225e+00,8.611359829067315452e-01,1.193507897774033433e+00,-7.998131340557315117e-01,4.384459590839400178e-01,1.270936709043907764e-01,6.369136399803689841e-01,1.268975551613169772e+00,5.579534153778326067e-01,-5.382099893167072158e-02
4.200000000000000178e+00,-6.714776007519317469e-01,-1.307363658620382285e+00,-2.299863461940860887e+00,8.674232255940169667e-01,1.223725643846593325e+00,-7.353912320110491674e-01,4.659434376774711506e-01,1.243927619729317396e-01,5.715741372089182537e-01,1.307363658620382285e+00,5.416099560907710053e-01,-5.421395159962606042e-02
4.250000000000000000e+00,-6.096044723965606815e-01,-1.342484037342875247e+00,-2.275896713850825925e+00,8.735749351670710761e-01,1.250644627776951179e+00,-6.691312348706892621e-01,4.925736205156273084e-01,1.216724169254908283e-01,5.049937035694695986e-01,1.342484037342875247e+00,5.232666722677077331e-01,-5.459843344794194225e-02
